week,period,category,reg_hrs,reg_pay,ot_pay,total_pay,pct_sales,pct_food_sales
4.19.26,last_year,MGMT TOTAL,0,5638,0,5638,2.72,
4.19.26,report_week,Bonuses,0,0,0,0,0.00,
4.19.26,report_week,Comp,,1200,0,1200,0.72,
4.19.26,report_week,Salary,0,5479,,5479,3.30,
4.19.26,report_week,MGMT TOTAL,0,6679,0,6679,4.02,
4.26.26,last_year,Bonuses,0,0,0,0,0.00,
4.26.26,last_year,Comp,0,1128,0,1128,0.47,
4.26.26,last_year,Salary,0,4670,,4670,1.95,
4.26.26,last_year,MGMT TOTAL,0,5798,0,5798,2.43,
4.26.26,report_week,Bonuses,0,0,0,0,0.00,
4.26.26,report_week,Comp,,1200,0,1200,0.65,
4.26.26,report_week,Salary,0,5058,,5058,2.76,
4.26.26,report_week,MGMT TOTAL,0,6258,0,6258,3.41,
5.3.26,last_year,Bonuses,0,0,0,0,0.00,
5.3.26,last_year,Comp,0,1128,0,1128,0.42,
5.3.26,last_year,Salary,0,6210,,6210,2.29,
5.3.26,last_year,MGMT TOTAL,0,7338,0,7338,2.70,
5.3.26,report_week,Bonuses,0,0,0,0,0.00,
5.3.26,report_week,Comp,,1200,0,1200,0.65,
5.3.26,report_week,Salary,0,5234,,5234,2.85,
5.3.26,report_week,MGMT TOTAL,0,6434,0,6434,3.51,
5.17.26,last_year,Bonuses,0,0,0,0,0.00,
5.17.26,last_year,Comp,0,1128,0,1128,0.62,
5.17.26,last_year,Salary,0,6210,,6210,3.41,
5.17.26,last_year,MGMT TOTAL,0,7338,0,7338,4.02,
5.17.26,report_week,Bonuses,0,0,0,0,0.00,
5.17.26,report_week,Comp,,1200,0,1200,0.82,
5.17.26,report_week,Salary,0,5033,,5033,3.45,
5.17.26,report_week,MGMT TOTAL,0,6233,0,6233,4.28,
6.7.26,last_year,Bonuses,0,0,0,0,0.00,
6.7.26,last_year,Comp,0,1128,0,1128,0.65,
6.7.26,last_year,Salary,0,6210,,6210,3.57,
6.7.26,last_year,MGMT TOTAL,0,7338,0,7338,4.22,
6.7.26,report_week,Bonuses,0,0,0,0,0.00,
6.7.26,report_week,Comp,,1200,0,1200,1.00,
6.7.26,report_week,Salary,0,5234,,5234,4.36,
6.7.26,report_week,MGMT TOTAL,0,6434,0,6434,5.36,
6.14.26,last_year,Bonuses,0,0,0,0,0.00,
6.14.26,last_year,Comp,0,1128,0,1128,0.60,
6.14.26,last_year,Salary,0,6210,,6210,3.29,
6.14.26,last_year,MGMT TOTAL,0,7338,0,7338,3.89,
6.14.26,report_week,Bonuses,0,0,0,0,0.00,
6.14.26,report_week,Comp,,1200,0,1200,0.78,
6.14.26,report_week,Salary,0,5460,,5460,3.57,
6.14.26,report_week,MGMT TOTAL,0,6660,0,6660,4.35,
6.21.26,last_year,Bonuses,0,0,0,0,0.00,
6.21.26,last_year,Comp,0,1128,0,1128,0.58,
6.21.26,last_year,Salary,0,6210,,6210,3.19,
6.21.26,last_year,MGMT TOTAL,0,7338,0,7338,3.76,
6.21.26,report_week,Bonuses,0,0,0,0,0.00,
6.21.26,report_week,Comp,,1200,0,1200,0.79,
6.21.26,report_week,Salary,0,5410,,5410,3.55,
6.21.26,report_week,MGMT TOTAL,0,6610,0,6610,4.34,
6.28.26,last_year,Bonuses,0,0,0,0,0.00,
6.28.26,last_year,Comp,0,1128,0,1128,0.63,
6.28.26,last_year,Salary,0,6210,,6210,3.46,
6.28.26,last_year,MGMT TOTAL,0,7338,0,7338,4.09,
6.28.26,report_week,Bonuses,0,0,0,0,0.00,
6.28.26,report_week,Comp,,1200,0,1200,0.86,
6.28.26,report_week,Salary,0,5260,,5260,3.79,
6.28.26,report_week,MGMT TOTAL,0,6460,0,6460,4.65,
7.05.26,last_year,Bonuses,0,0,0,0,0.00,
7.05.26,last_year,Comp,0,1128,0,1128,0.79,
7.05.26,last_year,Salary,0,6210,,6210,4.37,
7.05.26,last_year,MGMT TOTAL,0,7338,0,7338,5.16,
7.05.26,report_week,Bonuses,0,0,0,0,0.00,
7.05.26,report_week,Comp,,1200,0,1200,1.19,
7.05.26,report_week,Salary,0,5834,,5834,5.81,
7.05.26,report_week,MGMT TOTAL,0,7034,0,7034,7.00,
7.12.26,last_year,Bonuses,0,0,0,0,0.00,
7.12.26,last_year,Comp,0,1128,0,1128,0.67,
7.12.26,last_year,Salary,0,6210,,6210,3.68,
7.12.26,last_year,MGMT TOTAL,0,7338,0,7338,4.35,
7.12.26,report_week,Bonuses,0,0,0,0,0.00,
7.12.26,report_week,Comp,,1200,0,1200,0.90,
7.12.26,report_week,Salary,0,5025,,5025,3.76,
7.12.26,report_week,MGMT TOTAL,0,6225,0,6225,4.66,
7.19.26,last_year,Bonuses,0,0,0,0,0.00,
7.19.26,last_year,Comp,0,1128,0,1128,0.60,
7.19.26,last_year,Salary,0,6210,,6210,3.32,
7.19.26,last_year,MGMT TOTAL,0,7338,0,7338,3.92,
7.19.26,report_week,Bonuses,0,0,0,0,0.00,
7.19.26,report_week,Comp,,1200,0,1200,0.90,
7.19.26,report_week,Salary,0,5025,,5025,3.79,
7.19.26,report_week,MGMT TOTAL,0,6225,0,6225,4.69,
7.26.26,last_year,Bonuses,0,0,0,0,0.00,
7.26.26,last_year,Comp,0,1128,0,1128,0.64,
7.26.26,last_year,Salary,0,6210,,6210,3.53,
